"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3","listing-card--owner-info__firm-name","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/balikesir-bandirma-yeni-kiralik/daire/128906-3353","36","18.000","11-07-2025","2 +
                          0","65 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Balıkesir / Bandırma / Yeni Mah.","https://www.hepsiemlak.com/emlak-ofisi/bayraktar-emlak-128906/berkay-bayraktar-3239860","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/6/8/9/3/2/3/5cc02c4a-1959-4a92-a0de-bb28b69d97c1.jpg","https://www.hepsiemlak.com/emlak-ofisi/bayraktar-emlak-128906","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/0/9/8/2/1/c342d0c5-9f94-461d-b589-347b0b9468fe.jpg","Bayraktar Emlak","Berkay
          Bayraktar",""
"https://www.hepsiemlak.com/istanbul-beykoz-incirkoy-kiralik/daire/153656-106","13","32.000","13-07-2025","2 +
                          1","130 m²","18
                        Yaşında","1. Kat","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/2/1/0/3/3/4/df6c96ac-9684-4bed-a2b6-d88ba4b4c3d2.jpg","","İstanbul / Beykoz / İncirköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/west-gayrimenkul-ve-danismanlik-153656/gurkan-keles-4330120","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/6/3/5/1/bd386945-1bd6-4e45-9e5b-b4256cd6296c.jpg","https://www.hepsiemlak.com/emlak-ofisi/west-gayrimenkul-ve-danismanlik-153656","","West Gayrimenkul Ve Danışmanlık","Gürkan
          Keleş",""
"https://www.hepsiemlak.com/samsun-terme-fenk-kiralik/daire/147507-49","27","20.000","13-07-2025","3 +
                          1","160 m²","20
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Samsun / Terme / Fenk Mah.","https://www.hepsiemlak.com/emlak-ofisi/hba-terme-emlak-147507","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/5/7/4/1/b3630c5b-c141-4a50-bc7a-39b5db3898de.jpg","","","Hba Terme Emlak","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-kiralik/daire/142108-178","36","29.990","13-07-2025","1 +
                          1","80 m²","Sıfır Bina","8. Kat","","","","İstanbul / Beylikdüzü / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/uzmanlar-gayrimenkul-142108","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/2/9/7/1/9/4/4/8e200ae2-53df-4f65-8beb-5b4032f9239c.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/1/2/4/1/e025fdd8-8534-40fc-bdfb-e0610eb9e5dd.PNG","Uzmanlar Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-varlik-kiralik/daire/5338-8090","16","50.000","13-07-2025","3 +
                          1","150 m²","7
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Yenimahalle / Varlık Mah.","https://www.hepsiemlak.com/emlak-ofisi/ucok-emlak-5338/muhiddin-ucok-5338","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/9/8/9/1/9/4/4/4c380929-8ef0-4f83-9086-78e60674f2d8.jpg","https://www.hepsiemlak.com/emlak-ofisi/ucok-emlak-5338","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/3/3/5/0/0/bd1e48ad-8fb8-457a-9896-db8b558daded.jpg","Üçok Emlak","Muhiddin
          Üçok",""
"https://www.hepsiemlak.com/ankara-cankaya-sehit-cevdet-ozdemir-kiralik/daire/9595-2464","10","23.000","13-07-2025","1 +
                          1","55 m²","Sıfır Bina","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Şehit Cevdet Özdemir Mah.","https://www.hepsiemlak.com/emlak-ofisi/karakus-emlak-9595/cemalettin-karakus-9595","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/7/9/6/0/5/4/4/07678aa9-2c43-4eba-925a-7efaefdd2945.jpg","https://www.hepsiemlak.com/emlak-ofisi/karakus-emlak-9595","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Karakuş Emlak","Cemalettin
          Karakuş",""
"https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/4537-10611","36","40.000","13-07-2025","3 +
                          1","135 m²","32
                        Yaşında","10. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Büyükesat Mah.","https://www.hepsiemlak.com/emlak-ofisi/borsem-kuleli-temsilciligi-4537/okan-erden-4537","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/7/7/3/5/7/3/4/1734126234781-43753774.jpg","https://www.hepsiemlak.com/emlak-ofisi/borsem-kuleli-temsilciligi-4537","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/5/4/0/0/2e56f0ee-5c1f-46c5-abe1-a5e527a13bb4.jpg","Borsem Kuleli Temsilciliği","Okan
          Erden",""
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/104642-2750","58","140.000","25-06-2025","6 +
                          1","200 m²","6
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beyoğlu / Cihangir Mah.","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642/hasan-aydin-2202440","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/2/3/2/4/8/4/4/0c69ed79-6b49-4b10-ba65-7a042d6ccaa8.jpg","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/4/4/2/0/2/2/53b58480-fbea-42d8-98f7-d5e689a1f92e.jpg","Realtyone Property Management","Hasan
          Aydın",""
"https://www.hepsiemlak.com/izmir-torbali-pancar-kiralik/daire/124859-263","60","25.000","25-05-2025","3 +
                          1","123 m²","Sıfır Bina","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Torbalı / Pancar Mah.","https://www.hepsiemlak.com/emlak-ofisi/gungor-emlak-124859/ferrahi-gungor-2973418","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/5/9/9/8/4/4/4/1744919694948-44489954.jpg","https://www.hepsiemlak.com/emlak-ofisi/gungor-emlak-124859","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/1/4/3/7/9/2/b78590b9-1f1a-47be-ad9f-32ded1e734f7.jpg","Güngör Emlak","Ferrahi
          Güngör",""
"https://www.hepsiemlak.com/izmir-gaziemir-emrez-kiralik/daire/101303-470","8","20.000","12-07-2025","3 +
                          1","118 m²","20
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Gaziemir / Emrez Mah.","https://www.hepsiemlak.com/emlak-ofisi/reb-gayrimenkul-yatirim-danismanligi-101303","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/5/7/2/8/2/9/4/4/1752309500261-44928275.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/3/1/0/1/a6ff9985-bc5a-49e9-9d23-0dcff5b753c3.jpg","Reb Gayrimenkul Yatırım Danışmanlığı","",""
